电影名,导演,编剧,演员,上映时间,片长,类型,评分
萤火虫 Luciérnagas,班尼·科什努迪,班尼·科什努迪,"Arash Marandi,Flor Eduarda Gurrola,路易斯·阿伯提,埃利希奥·梅兰德斯,Eduardo Mendizábal,Edwarda Gurrola,Uriel Ledesma,Ishbel Mata",暂无上映时间,88分钟,剧情,6.4
列车大盗 The Train Robbers,伯特·肯尼迪,伯特·肯尼迪,"约翰.韦恩,本.约翰逊,安.玛格丽特,罗德·泰勒",1973-02-07,92 分钟,西部,暂无电影评分
胆量计划 The Dare Project,亚当·萨尔基,David Brind,"亚当·弗莱明,迈克尔·卡西迪,亚当·哈根布奇,West Liang,Rachele Schank,贾斯汀·柯恩,Desirey Abbs,Andrey Bereza,Katie Bonser,Ashley Casanova,Ria Gaudioso,David Jeffrey Klick Jr.,Malachi Kobayashi,Sarah Jean Morrison,Joshua Nunez,Miguel Virgen,Richard Warren,Vance Beamer Washington,Kyle Williams,Elif Yekani",2018-06-15(Frameline Film Festival),34分钟,剧情,7.9
安检 Control,Natasza Parzymies,Natasza Parzymies,"Adrianna Chlebicka,Ewelina Pankowska",2018-04-14(波兰),暂无电影时长,剧情,8.5
敌对分子 Hostiles,斯科特·库珀,"斯科特·库珀,唐纳德·斯图尔特","克里斯蒂安·贝尔,裴淳华,本·福斯特,史蒂芬·朗,杰西·普莱蒙,保罗·安德森,斯科特·威尔森,考莉安卡·基尔彻,乔纳森·梅杰斯,罗利·科奇瑞恩,彼得·穆兰,亚当·比奇,韦斯·斯塔迪,蒂莫西·柴勒梅德,比尔·坎普",2017-09-02(特柳赖德电影节),134分钟,剧情,6.8
肥瑞的疯狂日记 第二季 My Mad Fat Diary Season 2,蒂姆·柯比,Tom Bidwell,"莎朗·鲁妮,席亚拉·巴克森德尔,丹·科恩,朱迪·科默,乔丹·墨菲,尼克·迈瑞莱格伦",2014-02-17,暂无电影时长,喜剧,8.6
宠物坟场 Pet Sematary,凯文·库尔施,"斯蒂芬·金,麦特‧格林伯格,杰夫·布勒","杰森·克拉克,艾米·西米茨,约翰·利思戈,杰特·劳伦斯,雨果·拉瓦,卢卡斯·拉瓦,奥布萨·艾哈迈德,阿丽莎·布鲁克·莱文,玛丽亚·埃雷拉,弗兰克·萧宾,琳达·E·史密斯,索尼娅·玛丽亚·基里拉,娜奥米·弗伦内特,艾丽森·奥唐奈尔",2019-03-17(西南偏南电影节),101分钟,悬疑,5.7
南屏晚钟,钱宇,钱宇,易非凡,2019-06(中国大陆),10分钟,短片,暂无电影评分
英雄本色2,吴宇森,"徐克,吴宇森","狄龙,张国荣,周润发,石天,关山,朱宝意,曾江,成奎安,吴孟达,王正方",1987-12-17(中国香港),105 分钟,剧情,8.3
生死大营救,王新生,"周建顺,陈智","杨宝龙,曲国强,王刚",暂无上映时间,93分钟,剧情,暂无电影评分
网络谜踪 Searching,阿尼什·查甘蒂,"阿尼什·查甘蒂,赛弗·奥哈尼安","约翰·赵,米切尔·拉,黛博拉·梅辛,约瑟夫·李,萨拉·米博·孙,亚历克丝·杰恩·高,刘玥辰,刘卡雅,多米尼克·霍夫曼,西尔维亚·米纳西安,梅丽莎·迪斯尼,康纳·麦克雷斯,科林·伍德尔,约瑟夫·约翰·谢尔勒,阿什丽·艾德纳,考特尼·劳伦·卡明斯,托马斯·巴布萨卡,朱莉·内桑森,罗伊·阿布拉姆森,盖奇·比尔托福,肖恩·奥布赖恩,瑞克·萨拉比亚,布拉德·阿布瑞尔,加布里埃尔·D·安吉尔",2018-12-14(中国大陆),102分钟,剧情,8.6
座头市 座頭市,北野武,"北野武,子母泽宽","北野武,浅野忠信,大楠道代,井口薰仁,橘大五郎,大家由祐子,夏川结衣,岸部一德,石仓三郎,柄本明,樋浦勉,芦川诚,森下能幸,六平直政,小林太树,早乙女太一,津田宽治,宫松,田中要次",2003-09-06(日本),116分钟,剧情,8.0
跆拳道 Taekwondo,马可·伯格,马可·伯格,"加布里埃尔·爱泼斯坦,卢卡斯·帕帕,尼古拉斯·巴索夫,弗朗西斯科·贝尔坦,阿图罗·弗鲁托斯,安德烈斯·加瓦达,胡安·曼努埃尔·马蒂诺,达里奥·梅农,加斯顿·雷",2016-08-18(阿根廷),112分钟,剧情,7.4
一起去吃拉面吗？ 라면 먹고 갈래?,暂无导演信息,暂无编剧信息,暂无演员信息,2016-03-17(韩国),75分钟,情色,3.2
神出鬼没的复仇者 The Elusive Avengers,埃德蒙·科萨扬,暂无编剧信息,暂无演员信息,1966,78 分钟,动作,暂无电影评分
被Rapper咬了的话就会变成Rapper ラッパーに噛まれたらラッパーになるドラマ,丰岛圭介,渡部亮平,"小芝风花,佐藤宽太,汤姆大哥,萩原利久,特林德尔·玲奈,片山萌美,井本彩花,奥山和纱,入江雅人",2019-07-12(日本),暂无电影时长,喜剧,6.5
萧红,霍建起,"思芜,乙福海","宋佳,黄觉,王仁君,张博,李依玲,吴超,陆怡璇,孙维明,张彤,李凤绪,王同然,鲁思远,张维智,杨丽萍,李翰臣,江心怡,丁字佳,曹世平,温杰捷,李洪权,赵荣章,瓦洛莎,安继晨,葛四,包子,陈鹏宇,李云龙,赵蕾蕾,安宇",2013-03-08(中国大陆),120分钟,剧情,6.5
狗镇之主 Lords of Dogtown,凯瑟琳·哈德威克,斯泰西·佩拉塔,"埃米尔·赫斯基,维克多·罗塞克,约翰·罗宾森,希斯·莱杰,妮基·瑞德,白灵",2005-06-03,107 分钟,剧情,8.3
异形魔怪4 Tremors 4: The Legend Begins,S·S·威尔逊,"S·S·威尔逊,布伦特·马多克,Nancy Roberts,罗恩·安德伍德","萨拉·博茨福德,Lou Carlucci,John Dixon",2004-01-02,101分钟,喜剧,5.9
美人为馅,李达超,"于正,丁墨,王小泉,杨楠,沈君乐","杨蓉,白宇,张逸杰,米热,戚迹,何奉天,王雨,初俊辰,田牧宸,南伏龙,任嘉伦,白梓轩,高雨儿,赵顺然,李庚,孙骁骁,赵弈钦,海铃,梦秦,陈昊宇,邓莎",2016-10-24(中国大陆),暂无电影时长,爱情,5.9
当我们17岁 Quand on a 17 ans,安德烈·泰希内,"瑟琳·席安玛,安德烈·泰希内","桑德琳娜·基贝兰,卡西·莫泰·克莱恩,柯朗坦·菲拉,亚历谢斯·罗莱特,让·弗罗内德,Mama Prassinos,Gérard Labelle,Vanessa Duran",2016-02-14(柏林电影节),116分钟,剧情,7.7
"沙漠妖姬 The Adventures of Priscilla, Queen of the Desert",斯蒂芬·埃利奥特,斯蒂芬·埃利奥特,"雨果·维文,盖·皮尔斯,特伦斯·斯坦普",1994-08-10(美国),104 分钟,剧情,8.3
极速救援,杨树鹏,"王若璠,吴思潇,李里,胡越,郭莹莹,林琳,倪哲,李晨曦,蒋未","张赫,王佳宇,魏哲鸣,刘忻,李亚天,王润泽,苏鑫,李沐子",2019-11-25(中国大陆),暂无电影时长,剧情,暂无电影评分
上海之夜,徐克,"司徒卓汉,陈冠中,杜国威","钟镇涛,张艾嘉,叶倩文,田青,李丽珍,成奎安,文隽,胡枫",1984-10-11(中国香港),103 分钟,剧情,7.6
民国奇探,张伟克,"宝盖丁,钟艺,胡越,王雪娇,王若璠,吴思潇,李丽莎,左煜,李里,任佩琪,王月冕","胡一天,张云龙,肖燕,张会中,曾泳醍,向云龙,乔骏达,甘露,石凉,王潇,张翔,德福,陆锋,凯洱,金刚,曹操,李保民,丁柳雁,丁一宣,王奕然,曹禹澄,张志伟,赵雍,何涌生,赵燕国彰,荣蓉,布莱恩,格桑,宋乃刚,彤年,马克苏,楼家辉,鲁姜豪,张金,郝通通,任笑兮,雷蒙,李季,籍翀,沈凯,艾然,康宁,汪飞,辜朝平,冯家,刘凯铭,彭杨斐,陈杰,回永新,李瑶瑶,陈瑞,徐蓓蓓,杨茉,丁瑶,顾欣怡,贺云峰,谷士静,余正涛,惠浩,马乾涛,魏博,韩晓,钟佩妍,王成龙,钱海鸥,段兰娟,赵鹏飞",2020-03-24(中国大陆),暂无电影时长,喜剧,7.1
天气预爆,肖央,"肖央,黄苑,张少初,刘犇","肖央,杜鹃,常远,小沈阳,岳云鹏,王小利,衣云鹤,蔡明,代乐乐,桑平,张本煜,杨一威",2018-12-21(中国大陆),104分钟,喜剧,3.8
SOS: Save Our Skins,Kent Sobey,"Chris Hayward,Nat Saunders","Sonny Adegboruwa,Tom Bolton,Michael Chwastiak",2014-04-04(美国),暂无电影时长,喜剧,暂无电影评分
胜者即是正义 リーガル・ハイ,石川淳一,古泽良太,"堺雅人,新垣结衣,生濑胜久,小池荣子,里见浩太朗,矢野圣人,田口淳之介,中村苍,正名仆蔵,六角慎司,波瑠,津村知与支,中原丈雄,福田沙纪,野添义弘,鹤见辰吾,洼田正孝,小出早织,友近,永山绚斗,原田夏希,东根作寿英,阿知波悟美,载宁龙二,大和田伸也,村井美树,德井优,江守彻,津田宽治,户田昌宏,春木美沙代,铃木京香,铃木一真,青山伦子,皆川猿时,宍户美和公,丸山智己,木南晴夏,伊吹吾郎,山谷初男,中村敦夫,吉川爱,小泽真珠,冈山一,坂口涌久,丹古母鬼马二,千叶雅子,左时枝,二瓶鲛一,田村泰二郎,横内正,西原亚希,坂田雅信,神保悟志 ,田畑智子,东干久,近江谷太朗,榊英雄,小野惠令奈",2012-04-17(日本),暂无电影时长,剧情,9.4
会长是女仆 会長はメイド様！,樱井弘明,"池田真美子,横谷昌宏,吉田玲子,网谷正治","藤村步,冈本信彦,花泽香菜,小林优,椎桥和义,鸟海浩辅,阿部敦,市来光弘,寺岛拓笃,细谷佳正,丰崎爱生,阿澄佳奈,植田佳奈,伊濑茉莉也,五十岚裕美,铃村健一",2010-04-01(日本),暂无电影时长,剧情,8.4
热血警探 Hot Fuzz,埃德加·赖特,"埃德加·赖特,西蒙·佩吉","西蒙·佩吉,尼克·弗罗斯特,马丁·弗瑞曼,比尔·奈伊,提摩西·道尔顿,吉姆·布劳德本特,Robert Popper,乔·考尼什,Chris Waitt,比莉·怀特劳,彼得·怀特,朱丽亚·迪金,比尔·贝利,保罗·弗里曼,伊丽莎白·埃尔文,斯图亚特·维尔森,帕迪·康斯戴恩,拉菲·斯波,凯文·埃尔登,卡尔·约翰逊,Sampson,奥利维娅·科尔曼,爱德华·伍德华德,安妮·雷德,肯尼思·库兰汉姆,亚当·布克斯顿,斯戴芬·莫昌特,蒂姆·巴洛,罗伊·麦克凯恩,爱丽丝·洛维,罗恩·库克,大卫·斯瑞弗,露茜·彭奇,大卫·布拉德利,Maria Charles,凯特·布兰切特,史蒂夫·库根,大卫·威廉·詹姆斯·埃利奥特,彼得·杰克逊,加斯·詹宁斯,约瑟夫·麦克曼纳斯,Joel Stubbs,埃德加·赖特",2007-02-14(英国),121分钟,喜剧,8.2
余罪 第二季,张睿,"沈嵘,张仕栋,姜无及,常书欣","张一山,吴优,常戎,张锦程,王戈,葛铮,张承,白一弘,孙佳雨,张雨剑,杜子名,于笑,李又麟,徐冬冬,门东毅,虞朗,赵雷棋,张亚希",2016-06-13(中国大陆),暂无电影时长,剧情,7.5
速度与激情：特别行动 Fast & Furious Presents: Hobbs & Shaw,大卫·雷奇,"克里斯·摩根,盖瑞·斯科特·汤普森,德鲁·皮尔斯","道恩·强森,杰森·斯坦森,伊德里斯·艾尔巴,凡妮莎·柯比,艾莎·冈萨雷斯,海伦·米伦,瑞恩·雷诺兹,凯文·哈特,埃迪·马森,罗曼·雷恩斯,斯蒂芬妮·沃格特,维克托里娅·菲斯,康兰·卡萨尔,海伦娜·福尔摩斯,伯纳多·桑托斯,露丝·霍洛克斯,大卫·穆梅尼,马诺伊·阿南德,阿玛尔·阿达蒂亚,朱利安·费罗,丹尼尔·厄根,拉普洛斯·卡伦福佐斯,阿克塞尔·努,史蒂夫·莱温顿,安东尼奥·曼奇诺,斯特拉·斯托克尔,克利夫·柯蒂斯",2019-08-23(中国大陆),137分钟,动作,6.3
第十二个人 Den 12. mann,哈罗德·兹瓦特,彼特·斯卡弗兰,"乔纳森·莱斯·梅耶斯,托马斯·古勒斯塔德,玛丽·布洛克胡斯,维加·霍尔,马丁·基弗",2017-12-25(挪威),135分钟,剧情,7.9
中华勤学故事,邵建明,"吴厚信,杨春,袁志勇,于洪洋,张希,杜英哲,梁丽华,胡悦,陈勇,郭威","白玉林,田二喜,孙佳禾,李云鹏,伍凤春,阎萌萌,王博,秦媛",2004-05-10(中国大陆),暂无电影时长,动画,8.4
塞外奇侠,陈琇群,"黄碧仁,郭舒贤,黄嫊芳,原文庆,梁维东,秦伟,郑文全,沈晖濠","黄碧仁,郭舒贤,黄嫊芳,原文庆,梁维东,秦伟,郑文全,沈晖濠",1996-02-06(新加坡),暂无电影时长,剧情,8.1
天际行者 Время первых,德米特里·基谢廖夫,"谢尔盖·卡鲁扎诺夫,尤里·科罗特科夫,奥列格·波戈金","叶甫盖尼·米罗诺夫,康斯坦丁·哈宾斯基,弗拉基米尔·伊利因,亚历山德拉·乌尔苏利亚科,叶莲娜·维克托罗夫娜·帕诺娃,尤里·伊茨科夫,艾戈·莫罗佐夫,亚历山大·伊林,维塔丽雅·科尔尼扬科,阿纳托利·科特尼欧夫",2018(中国大陆),140分钟,剧情,7.9
七剑下天山之七情花,蓝志伟,"苏悦年,虢爽","陈奕,张雅卓,许政国,张竣杰",2020-01-17(中国大陆),82分钟,爱情,暂无电影评分
僵尸高校2 Z-O-M-B-I-E-S 2,保罗·霍恩,"戴维·莱特,约瑟夫·拉索","麦洛·曼海姆,梅格·唐纳利,金斯顿·福斯特,杰丝敏·芮妮·托马斯,Chandler Kinney,Pearce Joza,Ariel Martin,卡拉·杰弗瑞,凯利·拉塞尔,特雷弗·托德曼,詹姆斯·戈弗雷,奈奥米·斯尼克斯,托尼·纳波,艾米利亚·麦卡锡,Noah Zulfikar",2020-02-14(美国),84分钟,喜剧,5.1
新警察故事,陈木胜,袁锦麟,"成龙,谢霆锋,杨采妮,蔡卓妍,吴彦祖,安志杰,尹子维,王杰,于荣光,叶山豪,蒋怡,伍允龙,孙淳",2004-09-24(中国大陆),123分钟,剧情,7.5
海扁王 Kick-Ass,马修·沃恩,"简·古德曼,马修·沃恩","亚伦·泰勒-约翰逊,科洛·莫瑞兹,尼古拉斯·凯奇,克里斯托夫·梅兹-普莱瑟,马克·斯特朗,琳德西·冯塞卡,埃文·彼得斯,克拉克·杜克,黛博拉·特维斯,Garrett M. Brown,苏菲·吴",2010-04-16,117 分钟,喜剧,7.5
非常主播 과속스캔들,姜炯哲,姜炯哲,"车太贤,朴宝英,王晳铉,宋河波,黄雨瑟惠",2009-10-09(中国大陆),108 分钟,剧情,7.9
犯罪心理 第二季 Criminal Minds Season 2,Gloria Muzio,爱德华·艾伦·贝内罗,"曼迪·帕廷金,劳拉·格劳蒂尼,谢默·摩尔,托马斯·吉布森",2006-09-20(美国),暂无电影时长,剧情,9.3
人工智能 Artificial Intelligence: AI,史蒂文·斯皮尔伯格,"布莱恩·奥尔迪斯,史蒂文·斯皮尔伯格,Ian Watson","海利·乔·奥斯蒙,弗兰西丝·奥康纳,山姆·洛巴兹,杰克·托马斯,裘德·洛,威廉·赫特,肯·梁,克拉克·格雷格,凯文·苏斯曼,汤姆·加洛普,尤金·奥斯门特,艾普尔·格雷斯,马特·温斯顿,萨布丽娜·格德维奇,西奥·格林利",2001-06-29(美国),146分钟,剧情,8.6
猎魔人 第一季 The Witcher Season 1,埃里克·萨哈罗夫,"劳伦·施密特,安杰·萨普科夫斯基","亨利·卡维尔,弗蕾娅·艾伦,艾玛·阿普尔顿,安亚·查洛特拉,米米·迪韦尼,埃蒙·法伦,玛安娜·本灵,威尔逊·拉德茹-普杰尔特,亚当·利维,乔伊·巴泰,拉斯·米克尔森,特里卡·威尔逊-瑞德,罗伊斯·皮尔逊,安娜·谢弗,乔迪·梅,比约恩·西鲁·哈瑞森,朱迪特·菲柯特,马泰·豪曼,马赫什·扎杜,约瑟特·西蒙,罗恩·库克,马切伊·穆西尔,邵恩·杜里,安娜-露易丝·普拉曼,特伦斯·梅纳德,诺拉·特罗坎,盖亚·蒙达多里,罗布·马龙,米娅·麦肯纳·布鲁斯,阿黛尔·奥尼,科莉特·特汉奇奥,汤姆·坎顿,伊莎贝尔·莱德勒,弗朗西斯·麦基,乔丹·伦佐,卢卡斯·英格兰德,弗丽达·古斯塔夫松,杰森·索普,史蒂夫·沃尔,桑尼·阿什本·瑟金斯,罗德里克·希尔,本·威金斯,马特·戴维尔",2019-12-20(美国),暂无电影时长,剧情,7.4
西部人 The Westerner,威廉·惠勒,"乔·斯沃林,尼文·布施","加里·库珀,沃尔特·布伦南,多丽丝·达文波特,弗雷德·斯通",1940-09-20,100 分钟,剧情,7.0
杀破狼 殺破狼,叶伟信,"司徒锦源,吴炜伦,叶伟信","甄子丹,洪金宝,任达华,廖启智,吴京,洪天明,张智尧,夏韶声",2005-11-18(中国香港),93分钟,剧情,7.4
中国蓝盔,宁海强,"萧森,宁海强","徐洪浩,一龙,彭凌,沈浩,王韬,聂远,曹凯,王强,郑卫莉,伊莉莎,达丽雅,一二先生,尚,蔡明凯,龙天,穆雷克",2018-11-23(中国大陆),96分钟,剧情,3.5
国王的演讲 The King's Speech,汤姆·霍伯,大卫·塞德勒,"科林·费尔斯,杰弗里·拉什,海伦娜·伯翰·卡特,盖·皮尔斯,迈克尔·刚本,蒂莫西·斯波,詹妮弗·艾莉,德里克·雅各比,安东尼·安德鲁斯,克莱尔·布鲁姆",2012-02-24(中国大陆),118分钟,剧情,8.4
角色扮演2：铺垫 롤플레이2 : 동침,李光昊이광호,李光昊이광호,"权赫峰,郭贤贞권현정,伊贤이선구",2013-11-21(韩国),71分钟（韩国）,剧情,4.4
猫 Great Performances: Cats,戴维·马利特,T·S·艾略特,"伊莲·佩姬,约翰·米尔斯,肯·帕吉,罗斯玛丽·福特,Michael Gruber,约翰·帕特里奇,Aeva May,Geoffrey Garratt,James Barron,乔·吉布,Drew Varley,Susie McKenna,雅各布·布伦特,Susan Jane Tanner,Phyllida Crowley Smith,Veerle Casteleyn,Karl Morgan,Jo Bingham,杰森·加德纳,David Combes",1998-10-05(英国),120分钟,音乐,9.0
黄河绝恋,冯小宁,冯小宁,"宁静,保罗·克塞,王新军,涂门,李明",1999-09-29(匈牙利),105分钟,剧情,7.6
育婴室,皮查农·塔玛杰拉,周浩晖,"皮查雅·瓦塔那蒙迪里,朱一龙,徐洁儿",2016-10-28(中国大陆/泰国),90分钟,恐怖,5.0
笑傲江湖,赖水清,"关展博,陈丽华","任贤齐,袁咏仪,李立群,岳跃利,陈德容,宋达民,刘雪华,徐少强,蔡灿得,孙兴,姜大卫,屈中恒,张复建,李志希,顾冠忠,陈紫函,铁孟秋,九孔,张立威,杜鹏,陈宝国,刘家,潘虹,刘莉莉,马之秦,王彪,刘长生,胡雅斯",2000-01-03(中国台湾),暂无电影时长,武侠,5.8
继续宠爱·十年·音乐会,张学友,暂无编剧信息,"张学友,梁朝伟,陈慧琳,周慧敏,容祖儿,张智霖,古巨基,苏志威,蔡一智,蔡一杰,黄耀明,张敬轩,黎芷珊,苏永康,许志安,莫文蔚,商天娥,张国荣,林夕,舒淇,张之亮,程小东,关锦鹏,刘德华,黄百鸣,张艾嘉,陈可辛,苏施黄,吴宇森,徐克,陈凯歌,施南生,毛舜筠,刘嘉玲,梁家辉,钟楚红,陈淑芬,杜自持",2013-03-31(中国香港),178分钟,纪录片,9.5
反斗神鹰2 Hot Shots! Part Deux,吉姆·艾布拉姆斯,"吉姆·艾布拉姆斯,帕特·普罗夫","查理·辛,劳埃德·布里吉斯,瓦莱丽亚·戈利诺,理查德·克里纳,布琳达·巴克,米盖尔·弗尔,罗温·艾金森,Jerry Haleva,大卫·沃尔,米奇·瑞恩,瑞安·斯蒂尔斯,Ben Lemon",1993-05-21,86 分钟,喜剧,7.6
唐山绝恋,郝冰,"关仁山,王家汇","李雪健,张延,兵洁",2006-12-20,暂无电影时长,剧情,6.8
阿丽塔：战斗天使 Alita: Battle Angel,罗伯特·罗德里格兹,"詹姆斯·卡梅隆,莱塔·卡罗格里迪斯,木城幸人","罗莎·萨拉查,克里斯托弗·瓦尔兹,基恩·约翰逊,艾德·斯克林,马赫沙拉·阿里,詹妮弗·康纳利,杰基·厄尔·哈利,拉娜·康多,小豪尔赫·兰登伯格,艾莎·冈萨雷斯,卡斯帕·凡·迪恩,米歇尔·罗德里格兹,爱德华·诺顿,杰夫·法赫,山姆·麦地那,德里克·梅耶斯,艾丽·拉蒙特,豪尔赫·A·希门尼斯,马克·扎罗,比利·布莱尔,伦纳德·吴,特里斯坦·里格斯,迈克尔·洛夫·托利弗,金,达塞尔·丹妮尔,马克·A·怀特",2019-02-05(中国台湾),122分钟,动作,7.5
生人勿进(美版) Let Me In,马特·里夫斯,"马特·里夫斯,约翰·艾维德·林德奎斯特","柯蒂·斯密特-麦菲,科洛·莫瑞兹,理查德·詹金斯,卡拉·布欧诺,伊莱亚斯·科泰斯,萨莎·巴瑞斯,迪兰·科宁,里特奇·科斯特,迪兰·明奈特,吉米·贾克斯·平查克",2010-10-01,115分钟,剧情,7.1
宫锁沉香,潘安子,于正,"周冬雨,陈晓,朱梓骁,赵丽颖,包贝尔,赵文瑄,邬君梅,陆毅,张卫健,张茜,苑琼丹,黄圣依,蒋依依,张子枫",2013-08-13(中国大陆),115分钟,剧情,5.1
长歌行,朱锐斌,夏达,"迪丽热巴,吴磊,赵露思,刘宇宁,方逸伦,张浩哲,王小伟,程诚",暂无上映时间,暂无电影时长,剧情,暂无电影评分
公主日记2 The Princess Diaries 2: Royal Engagement,盖瑞·马歇尔,"珊达·莱梅斯,吉娜·温德科斯,梅格·卡伯特","安妮·海瑟薇,朱莉·安德鲁斯,克里斯·派恩,埃克托尔·埃利松多,约翰·瑞斯-戴维斯,希瑟·玛塔拉佐,卡鲁姆·布鲁,凯瑟琳·马歇尔,汤姆·波士顿",2004-08-11(美国),113 分钟,喜剧,6.9
大明星 몬스타,金元锡,郑允京,"龙俊亨,夏沇秀,姜河那",2013-05-17(韩国),暂无电影时长,爱情,7.7
烹夫,林义雄,陆柏生,"李月仙,叶先儿,于芷蔚,黄韵材,陈健一",暂无上映时间,92分钟,情色,4.3
陆贞传奇,李慧珠,张巍,"赵丽颖,陈晓,乔任梁,刘雪华,杨蓉,唐艺昕,张可颐,吴映洁,王琳,习雪,姜鸿,金巧巧,韩栋",2013-05-05(中国大陆),暂无电影时长,爱情,7.1
金枝玉叶 金枝玉葉,陈可辛,"阮世生,陈可辛,李志毅,陈宝华,许愿,许月珍,奚仲文,张国荣","袁咏仪,张国荣,刘嘉玲,陈小春,曾志伟,罗家英,林晓峰,郑丹瑞",1994-07-23(中国香港),107分钟,喜剧,8.3
